 barcode ;Productos ;marca;Categoría;precio;stock;foto_url;foto_estado
 7.791.290.795.495 ;Jabon liq ALA c/bicarb p/diluir x500ml;ALA;Almacen;6178.01;56;https://www.google.com/search?tbm=isch&q=Jabon+liq+ALA+c/bicarb+p/diluir+x500ml;
 7.790.240.107.500 ;Vino ALARIS cabernet x750cc;ALARIS;Almacen;3500.00;57;https://www.google.com/search?tbm=isch&q=Vino+ALARIS+cabernet+x750cc;
 7.790.240.017.045 ;Vino ALARIS malbec x750cc;ALARIS;Almacen;3670.99;58;https://www.google.com/search?tbm=isch&q=Vino+ALARIS+malbec+x750cc;
 7.790.240.041.880 ;Vino ALARIS dulce cosecha x750cc;ALARIS;Almacen;3500.00;59;https://www.google.com/search?tbm=isch&q=Vino+ALARIS+dulce+cosecha+x750cc;
 7.790.150.610.305 ;Esencia de vainilla ALICANTE x100cc;ALICANTE;Almacen;1719.00;60;https://www.google.com/search?tbm=isch&q=Esencia+de+vainilla+ALICANTE+x100cc;
 7.790.150.535.394 ;Nuez moscada ALICANTE molida x25gr;ALICANTE;Almacen;2161.00;61;https://www.google.com/search?tbm=isch&q=Nuez+moscada+ALICANTE+molida+x25gr;
 7.790.150.540.183 ;Oregano ALICANTE x25gr;ALICANTE;Almacen;1326.99;62;https://www.google.com/search?tbm=isch&q=Oregano+ALICANTE+x25gr;
 7.790.150.540.336 ;Oregano ALICANTE x50gr;ALICANTE;Almacen;2470.00;63;https://www.google.com/search?tbm=isch&q=Oregano+ALICANTE+x50gr;
 7.790.150.550.588 ;Pimienta blanca ALICANTE molida x25gr;ALICANTE;Almacen;1748.99;64;https://www.google.com/search?tbm=isch&q=Pimienta+blanca+ALICANTE+molida+x25gr;
 7.790.150.564.844 ;Pimenton ALICANTE x25gr;ALICANTE;Almacen;822.00;65;https://www.google.com/search?tbm=isch&q=Pimenton+ALICANTE+x25gr;
 7.790.150.532.300 ;Mix ALICANTE criollo x25gr;ALICANTE;Almacen;1337.00;66;https://www.google.com/search?tbm=isch&q=Mix+ALICANTE+criollo+x25gr;
 7.790.150.532.706 ;Mix ALICANTE a las brasas x25gr;ALICANTE;Almacen;1255.00;67;https://www.google.com/search?tbm=isch&q=Mix+ALICANTE+a+las+brasas+x25gr;
 7.790.240.042.108 ;Vino ALMA MORA malbec x750cc;ALMA MORA;Almacen;4984.00;68;https://www.google.com/search?tbm=isch&q=Vino+ALMA+MORA+malbec+x750cc;
 7.790.240.042.085 ;Vino ALMA MORA cabernet x750cc;ALMA MORA;Almacen;4984.00;69;https://www.google.com/search?tbm=isch&q=Vino+ALMA+MORA+cabernet+x750cc;
 7.790.240.042.092 ;Vino ALMA MORA syrah x750cc;ALMA MORA;Almacen;4984.00;70;https://www.google.com/search?tbm=isch&q=Vino+ALMA+MORA+syrah+x750cc;
 7.791.540.044.106 ;Vino ALMA MORA reserva malbec x750cc;ALMA MORA;Almacen;6364.00;71;https://www.google.com/search?tbm=isch&q=Vino+ALMA+MORA+reserva+malbec+x750cc;
 7.790.380.040.293 ;Chocolate ALTEZA taza x90g;ALTEZA;Almacen;1801.00;72;https://www.google.com/search?tbm=isch&q=Chocolate+ALTEZA+taza+x90g;
 7.792.710.000.106 ;Yerba AMANDA seleccion x1kg;AMANDA;Almacen;4118.01;73;https://www.google.com/search?tbm=isch&q=Yerba+AMANDA+seleccion+x1kg;
 7.792.710.000.090 ;Yerba AMANDA seleccion x500gr;AMANDA;Almacen;1935.00;74;https://www.google.com/search?tbm=isch&q=Yerba+AMANDA+seleccion+x500gr;
 7.792.710.000.182 ;Yerba AMANDA tradicional x500g;AMANDA;Almacen;1842.00;75;https://www.google.com/search?tbm=isch&q=Yerba+AMANDA+tradicional+x500g;
 7.792.710.000.014 ;Yerba AMANDA tradicional x1kg;AMANDA;Almacen;3455.00;76;https://www.google.com/search?tbm=isch&q=Yerba+AMANDA+tradicional+x1kg;
 7.792.710.006.436 ;Yerba AMANDA suave x500gr;AMANDA;Almacen;2054.00;77;https://www.google.com/search?tbm=isch&q=Yerba+AMANDA+suave+x500gr;
 7.790.950.001.969 ;Aperitivo AMARGO OBRERO x950cc;AMARGO OBRERO;Almacen;4426.99;78;https://www.google.com/search?tbm=isch&q=Aperitivo+AMARGO+OBRERO+x950cc;
 6.001.495.062.508 ;Licor AMARULA crema x 750cc;AMARULA;Almacen;37676.00;79;https://www.google.com/search?tbm=isch&q=Licor+AMARULA+crema+x+750cc;
 7.792.798.999.866 ;Cerveza ANDES ORIGEN rubia lata x473cc;ANDES ORIGEN;Almacen;2367.01;80;https://www.google.com/search?tbm=isch&q=Cerveza+ANDES+ORIGEN+rubia+lata+x473cc;
 7.792.798.992.317 ;Cerveza ANDES ORIGEN roja lata x473cc;ANDES ORIGEN;Almacen;2367.00;81;https://www.google.com/search?tbm=isch&q=Cerveza+ANDES+ORIGEN+roja+lata+x473cc;
 7.792.798.002.320 ;Cerveza ANDES ORIGEN negra lata x473cc;ANDES ORIGEN;Almacen;2367.00;82;https://www.google.com/search?tbm=isch&q=Cerveza+ANDES+ORIGEN+negra+lata+x473cc;
 7.798.338.290.073 ;Leche ANGELITA parc desc tb x1lt;ANGELITA;Almacen;1632.00;83;https://www.google.com/search?tbm=isch&q=Leche+ANGELITA+parc+desc+tb+x1lt;
 7.798.338.290.486 ;Leche ANGELITA clasica liviana 2% tbx1lt;ANGELITA;Almacen;1632.00;84;https://www.google.com/search?tbm=isch&q=Leche+ANGELITA+clasica+liviana+2%+tbx1lt;
 7.790.895.004.971 ;Agua sab.AQUARIUS pomelo rosado x2.25lt;AQUARIUS;Almacen;2975.00;85;https://www.google.com/search?tbm=isch&q=Agua+sab.AQUARIUS+pomelo+rosado+x2.25lt;
 7.790.580.160.807 ;Aceite maiz ARCOR x 900ml;ARCOR;Almacen;5148.01;86;https://www.google.com/search?tbm=isch&q=Aceite+maiz+ARCOR+x+900ml;
 7.790.580.132.170 ;Mermelada ARCOR damasco x454g;ARCOR;Almacen;2604.00;87;https://www.google.com/search?tbm=isch&q=Mermelada+ARCOR+damasco+x454g;
 7.790.580.567.903 ;Tomate entero ARCOR lata x400gr;ARCOR;Almacen;1183.00;88;https://www.google.com/search?tbm=isch&q=Tomate+entero+ARCOR+lata+x400gr;
 7.790.580.106.737 ;Caramelos ARCOR masticable frutal x800gr;ARCOR;Almacen;8517.00;89;https://www.google.com/search?tbm=isch&q=Caramelos+ARCOR+masticable+frutal+x800gr;
 7.790.580.131.388 ;Bombones ARCOR seleccion surtidos x228g;ARCOR;Almacen;9711.00;90;https://www.google.com/search?tbm=isch&q=Bombones+ARCOR+seleccion+surtidos+x228g;
 7.790.580.133.450 ;Chocolate ARCOR milk tableta x12g;ARCOR;Almacen;565.00;91;https://www.google.com/search?tbm=isch&q=Chocolate+ARCOR+milk+tableta+x12g;
 7.790.580.151.393 ;Bombones ARCOR kiosco ed/limit x231,5g;ARCOR;Almacen;6249.00;92;https://www.google.com/search?tbm=isch&q=Bombones+ARCOR+kiosco+ed/limit+x231,5g;
 7.794.218.106.328 ;Jabon en pan ARGENTINO blanco x200g;ARGENTINO;Almacen;792.01;93;https://www.google.com/search?tbm=isch&q=Jabon+en+pan+ARGENTINO+blanco+x200g;
 7.794.218.106.120 ;Jabon en pan ARGENTINO blanco 2u x200g;ARGENTINO;Almacen;1358.00;94;https://www.google.com/search?tbm=isch&q=Jabon+en+pan+ARGENTINO+blanco+2u+x200g;
 7.794.218.106.854 ;Jabon en pan ARGENTINO blanc extr x150g;ARGENTINO;Almacen;668.00;95;https://www.google.com/search?tbm=isch&q=Jabon+en+pan+ARGENTINO+blanc+extr+x150g;
 7.794.218.106.236 ;Jab barra ARGENTINO 3x80g;ARGENTINO;Almacen;1307.01;96;https://www.google.com/search?tbm=isch&q=Jab+barra+ARGENTINO+3x80g;
 7.790.990.002.865 ;Jabon liq ARIEL limp prof d/p x800ml;ARIEL;Almacen;3074.01;97;https://www.google.com/search?tbm=isch&q=Jabon+liq+ARIEL+limp+prof+d/p+x800ml;
 5.413.149.002.296 ;Jabon liq ARIEL limp prof bot x800ml;ARIEL;Almacen;2739.00;98;https://www.google.com/search?tbm=isch&q=Jabon+liq+ARIEL+limp+prof+bot+x800ml;
 7.790.990.002.872 ;Jabon liq ARIEL limp prof d/p x3lt;ARIEL;Almacen;11359.00;99;https://www.google.com/search?tbm=isch&q=Jabon+liq+ARIEL+limp+prof+d/p+x3lt;
 7.790.990.002.827 ;Jabon liq ARIEL delicados d/p x3lt;ARIEL;Almacen;11359.00;100;https://www.google.com/search?tbm=isch&q=Jabon+liq+ARIEL+delicados+d/p+x3lt;
 7.790.990.002.810 ;Jabon liq ARIEL delicados d/p x800ml;ARIEL;Almacen;3074.01;101;https://www.google.com/search?tbm=isch&q=Jabon+liq+ARIEL+delicados+d/p+x800ml;
 7.790.990.002.834 ;Jabon liq ARIEL platinum p/diluir x500ml;ARIEL;Almacen;9759.00;102;https://www.google.com/search?tbm=isch&q=Jabon+liq+ARIEL+platinum+p/diluir+x500ml;
 7.790.070.933.652 ;Cafe instantaneo ARLISTAN frasco x50gr;ARLISTAN;Almacen;2573.00;103;https://www.google.com/search?tbm=isch&q=Cafe+instantaneo+ARLISTAN+frasco+x50gr;
 7.790.070.933.645 ;Cafe instantaneo ARLISTAN frasco x100gr;ARLISTAN;Almacen;4118.01;104;https://www.google.com/search?tbm=isch&q=Cafe+instantaneo+ARLISTAN+frasco+x100gr;
 7.790.070.933.638 ;Cafe instantaneo ARLISTAN x170gr;ARLISTAN;Almacen;7105.00;105;https://www.google.com/search?tbm=isch&q=Cafe+instantaneo+ARLISTAN+x170gr;
 2.080.221 ;ASADO swift 5c black congelado e/v xkg;ASADO;Almacen;39138.00;106;https://www.google.com/search?tbm=isch&q=ASADO+swift+5c+black+congelado+e/v+xkg;
 2.080.222 ;ASADO swift 8c black congelado e/v xkg;ASADO;Almacen;35018.00;107;https://www.google.com/search?tbm=isch&q=ASADO+swift+8c+black+congelado+e/v+xkg;
 2.088.535 ;ASADO swift 5c UP black congelado e/v xk;ASADO;Almacen;39138.00;108;https://www.google.com/search?tbm=isch&q=ASADO+swift+5c+UP+black+congelado+e/v+xk;
 2.081.322 ;ASADO BANDERITA swift black cong. xkg;ASADO BANDERITA;Almacen;44288.00;109;https://www.google.com/search?tbm=isch&q=ASADO+BANDERITA+swift+black+cong.+xkg;
 2.088.340 ;ASADO HACHA c/hueso swift black cong xkg;ASADO HACHA;Almacen;14418.00;110;https://www.google.com/search?tbm=isch&q=ASADO+HACHA+c/hueso+swift+black+cong+xkg;
 7.790.117.000.019 ;Bolsa resid ASURIN 45x60 plana 10u;ASURIN;Almacen;1636.00;111;https://www.google.com/search?tbm=isch&q=Bolsa+resid+ASURIN+45x60+plana+10u;
 7.790.117.000.026 ;Bolsa resid ASURIN 50x70 plana 10u;ASURIN;Almacen;1883.00;112;https://www.google.com/search?tbm=isch&q=Bolsa+resid+ASURIN+50x70+plana+10u;
 7.790.117.000.200 ;Bolsa resid ASURIN 45x60 rollo 30u;ASURIN;Almacen;4279.00;113;https://www.google.com/search?tbm=isch&q=Bolsa+resid+ASURIN+45x60+rollo+30u;
 7.790.117.000.231 ;Bolsa resid ASURIN 50x70 rollo 30u;ASURIN;Almacen;6875.00;114;https://www.google.com/search?tbm=isch&q=Bolsa+resid+ASURIN+50x70+rollo+30u;
 7.791.293.028.781 ;Deo corp AXE black x150ml;AXE;Almacen;3342.00;115;https://www.google.com/search?tbm=isch&q=Deo+corp+AXE+black+x150ml;
 7.791.293.025.780 ;Deo corp AXE apollo aero x150ml;AXE;Almacen;3342.00;116;https://www.google.com/search?tbm=isch&q=Deo+corp+AXE+apollo+aero+x150ml;
