 barcode ;Productos ;marca;Categoría;precio;stock;foto_url;foto_estado
 7.795.933.000.045 ;Caballa BAHIA en aceite x380g;BAHIA;Almacen;4077.00;179;https://www.google.com/search?tbm=isch&q=Caballa+BAHIA+en+aceite+x380g;
 5.010.106.113.073 ;Whisky BALLANTINES x 700/750cc;BALLANTINES;Almacen;33123.00;180;https://www.google.com/search?tbm=isch&q=Whisky+BALLANTINES+x+700/750cc;
 7.790.975.000.152 ;Espumante BARON B extra brut x750cc;BARON B;Almacen;31413.00;181;https://www.google.com/search?tbm=isch&q=Espumante+BARON+B+extra+brut+x750cc;
 2.047.752 ;Queso mozza BARRAZA cilindro grande xkg;BARRAZA;Almacen;11318.00;182;https://www.google.com/search?tbm=isch&q=Queso+mozza+BARRAZA+cilindro+grande+xkg;
 2.054.709 ;Queso cremoso BARRAZA Horma xkg;BARRAZA;Almacen;8496.00;183;https://www.google.com/search?tbm=isch&q=Queso+cremoso+BARRAZA+Horma+xkg;
 2.005.957 ;Queso azul BAVARIA Horma xkg;BAVARIA;Almacen;23791.00;184;https://www.google.com/search?tbm=isch&q=Queso+azul+BAVARIA+Horma+xkg;
 7.790.380.311.034 ;Chicle BAZOOKA tutti frutti 80ux4g;BAZOOKA;Almacen;7204.00;185;https://www.google.com/search?tbm=isch&q=Chicle+BAZOOKA+tutti+frutti+80ux4g;
 7.790.380.311.027 ;Chicle BAZOOKA menta 80ux4g;BAZOOKA;Almacen;7204.00;186;https://www.google.com/search?tbm=isch&q=Chicle+BAZOOKA+menta+80ux4g;
 7.793.360.131.547 ;Mermelada BC ciruela x390gr;BC;Almacen;3270.00;187;https://www.google.com/search?tbm=isch&q=Mermelada+BC+ciruela+x390gr;
 7.793.360.131.516 ;Mermelada BC durazno x390gr;BC;Almacen;3074.01;188;https://www.google.com/search?tbm=isch&q=Mermelada+BC+durazno+x390gr;
 5.000.299.618.417 ;Gin BEEFEATER LONDON dry x 700cc;BEEFEATER;Almacen;28684.00;189;https://www.google.com/search?tbm=isch&q=Gin+BEEFEATER+LONDON+dry+x+700cc;
 5.000.299.618.424 ;Gin BEEFEATER LONDON dry x1lt;BEEFEATER;Almacen;31646.00;190;https://www.google.com/search?tbm=isch&q=Gin+BEEFEATER+LONDON+dry+x1lt;
 7.622.202.311.567 ;Chicles BELDENT globo x10g;BELDENT;Almacen;718.99;191;https://www.google.com/search?tbm=isch&q=Chicles+BELDENT+globo+x10g;
 7.622.202.311.598 ;Chicles BELDENT mentol x10g;BELDENT;Almacen;718.99;192;https://www.google.com/search?tbm=isch&q=Chicles+BELDENT+mentol+x10g;
 7.790.070.760.562 ;Vino BENJAMIN cabernet x750cc;BENJAMIN;Almacen;4866.00;193;https://www.google.com/search?tbm=isch&q=Vino+BENJAMIN+cabernet+x750cc;
 7.790.070.760.579 ;Vino BENJAMIN malbec x750cc;BENJAMIN;Almacen;4866.00;194;https://www.google.com/search?tbm=isch&q=Vino+BENJAMIN+malbec+x750cc;
 7.790.139.101.695 ;Alcohol de quemar PORTA x500ml;BI ALCOHOL;Almacen;2312.00;195;https://www.google.com/search?tbm=isch&q=Alcohol+de+quemar+PORTA+x500ml;
 7.790.703.205.675 ;Vino BIANCHI famiglia malbec x750cc;BIANCHI;Almacen;8276.00;196;https://www.google.com/search?tbm=isch&q=Vino+BIANCHI+famiglia+malbec+x750cc;
 7.790.703.205.026 ;Vino BIANCHI VARIETALES malbec x 750ml;BIANCHI;Almacen;5828.00;197;https://www.google.com/search?tbm=isch&q=Vino+BIANCHI+VARIETALES+malbec+x+750ml;
 70.330.631.328 ;ENCENDEDOR bic mini J5;BIC;Almacen;925.00;198;https://www.google.com/search?tbm=isch&q=ENCENDEDOR+bic+mini+J5;
 70.330.717.534 ;Maq afeitar BIC COMFORT3 advance x1u;BIC;Almacen;1307.01;199;https://www.google.com/search?tbm=isch&q=Maq+afeitar+BIC+COMFORT3+advance+x1u;
